,Name,Link,Category,Description
172, Openly Local API,https://www.programmableweb.com/api/openly-local,Government, Openly Local is a project to develop an open and unified way of accessing Local Government information in the UK. Openly Local uses a REST based API that allows users to access information such as a...
173, Liquor Control Board of Ontario (LCBO) API,https://www.programmableweb.com/api/liquor-control-board-ontario-lcbo,eCommerce," This is an API that accesses information from, but is not affiliated with, the Liquor Control Board of Ontario (LCBO). It is intended to provide data to mobile and web applications. The API uses..."
174, cQuery API,https://www.programmableweb.com/api/cquery,Feeds," cQuuery is an online Content Query Engine uses CSS Selectors to extract content from live web pages.
It provides an API to access parts of webpages using CSS selectors. The API uses RESTful calls..."
175, SweetSpot API,https://www.programmableweb.com/api/sweetspot,Other," SweetSpot is an online daibetes management program. SweetSpot allows users to upload blood sugar readings from their meter, email, or a cell phone. Once blood sugars are uploaded, the information is..."
176, Auctiva Marketplace Platform API,https://www.programmableweb.com/api/auctiva-marketplace-platform,eCommerce," The AMP Platform collects and stores item information from thousands of different web stores making that information accessible to developers. Using the platform, developers can build web..."
177, Nomaine API,https://www.programmableweb.com/api/nomaine,Domains," Nomaine is a themed domain name generator with availability checking. After analysis, word parts from lists are rearranged to create random pronounceable names. The RESTful API allows users the same..."
178, CoolStreaming API,https://www.programmableweb.com/api/coolstreaming,Video, CoolStreaming is a service that allows users to select and aggregate television shows from around the world. CoolStreaming offers open access to key parts of the CoolStreaming TV/Video repository and...
179, Saffron Sierra API,https://www.programmableweb.com/api/saffron-sierra,Database," Saffron Sierra is a developer site for using SaffronMemoryBase(SMB). The SMB stores ""associations"" or ""links"" between things so while it is organized like a relational database it acts as an..."
180, setlist.fm API,https://www.programmableweb.com/api/setlistfm,Music, The setlist.fm API lets developers access setlist data for use in their websites or third party applications. setlist.fm is a service for collecting and sharing setlists.
181, OpenSRS API,https://www.programmableweb.com/api/opensrs,Hosting, OpenSRS API is intended for Resellers who offer domains and supporting services to their customers. You can provide functionality to your customers by integrating the API commands into your website...
182, Copy2Contact API,https://www.programmableweb.com/api/copy2contact,Contacts, Copy2Contact allows a user to paste a single block of freeform text and intelligently parses it into a contact or event form to reduce data entry time and frustration. Copy2Contact reduces bounce...
183, freerisk API,https://www.programmableweb.com/api/freerisk,Enterprise," Freerisk is a project with the goal of making freely available the data, algorithms and tools necessary to perform risk modeling. This RESTful API allows users to create risk metrics. It acts as a..."
184, Strands Social Recommender API,https://www.programmableweb.com/api/strands-social-recommender,Recommendations," Strands Social Recommender is a recommendation engine that enables social recommendations and personalized discovery features in web or wap sites, mobile applications as well as through email..."
185, Safe.mn API,https://www.programmableweb.com/api/safemn,Security," Safe.mn is a URL shortening service that provides measures for security and transparency. All links are verified for viruses, malware, phishing, malicious content, session stealing, cross-site..."
186, wpSEEK API,https://www.programmableweb.com/api/wpseek,Search," wpSEEK is a tool for searching WordPress. This API allows users to retrieve version information, function details, Hooks, Actions, code snippets, similar functions or forum topics about a certain..."
187, Stop Forum Spam API,https://www.programmableweb.com/api/stop-forum-spam,Spam, Stop Forum Spam is a database of online forum spammers. The API allows users to query the database to determine if a spammer is trying to register to their site. Users can also add to the database....
188, Saasu API,https://www.programmableweb.com/api/saasu,Financial," Saasu.com is an online accounting software system. Saasu's online accounting API uses a RESTful interface to enable connections to web applications, software products, payment services and banks...."
189, Metro Trip Planner API,https://www.programmableweb.com/api/metro-trip-planner,Transportation," Metro Trip Planner provides trip planning, transit services and project information for Los Angeles County. The web services API will publish data that describe Metroï¿½s routes, schedules, and stops..."
190, Server Density Monitoring API,https://www.programmableweb.com/api/server-density-monitoring-api,Monitoring, Server Density is a server monitoring and hosting service. The Server Density API allows users access to all the monitoring data stored by the service. It includes functions to manipulate the service...
191, ServerMojo API,https://www.programmableweb.com/api/servermojo,Monitoring, ServerMojo is a remote server monitoring service. The ServerMojo RESTful API allows users to build full monitoring applications or fully integrate ServerMojo monitoring within their site or systems....
192, Open Source Currency API,https://www.programmableweb.com/api/open-source-currency,Financial, An open source currency project with a REST API. Allows for exchanges of virtual currency between users. Responses can be formatted in either XML or JSON.
193, Fonxvard API,https://www.programmableweb.com/api/fonxvard,Photos, The Fonxvard API performs a different image manipulation each day. Send image via post or image URL and receive an image with the same dimensions. It uses a RESTful interface and returns responses in...
194, SpamID.net IP Locator API,https://www.programmableweb.com/api/spamidnet-ip-locator,Mapping, SpamID.net is an IP address geolocation database. The IP Locator API allows users to send in the IP address of an online visitor and get back their physical location. It uses a RESTful interface and...
195, RedCritter API,https://www.programmableweb.com/api/redcritter,Tools, RedCritter Apps are created using Microsoft Silverlight and are hosted on the RedCritter cloud platform. Includes API for creating Outlook add-ins with Silverlight. Including SDK for Salesforce.com...
196, Golem.de API,https://www.programmableweb.com/api/golemde,News Services, The Golem.de web site is in German but appears to be a database of articles on the latest IT news. The API uses a RESTful interface to allow users to search and retrieve both articles and videos in a...
197, Veriplace Developer API,https://www.programmableweb.com/api/veriplace-developer,Telephony," The Veriplace Developer API provides access to real-time and historic user location. It is REST-based, exposing location and privacy operations as standard HTTP requests, and uses the OAuth and..."
198, Snipr API,https://www.programmableweb.com/api/snipr,URL Shortener, Snipr is an URL shortening service. The API uses RESTful interface and returns results in XML. An API key and user login is required to use the API.
199, Google Apps Profiles Data API,https://www.programmableweb.com/api/google-apps-profiles-data,Email," The Profiles Data API allows client applications to retrieve and update profile information for users in a Google Apps domain. Each user profile is stored in the owning user's Google Account, but it..."
200, abctext.com API,https://www.programmableweb.com/api/abctextcom,Messaging, abctext.com is a site that provides text messaging (SMS) for private individuals and businesses around the world. This online text messaging service uses a SOAP interface and returns results in XML.
201, Mood of the Nation API,https://www.programmableweb.com/api/mood-nation,Social," Mood the Nation API allows clients to retrieve the raw trending data associated with the free Mood of the Nation iPhone application. The application collects mood information (physical, mental,..."
202, Hotwire Hotel Shopping API,https://www.programmableweb.com/api/hotwire-hotel-shopping,Travel, The Hotel Shopping API delivers data describing hotel shopping results similar to those that can be obtained when shopping for hotel rates on Hotwire.com. Each result returned includes a URL that...
203, Hotwire Rental Car Shopping API,https://www.programmableweb.com/api/hotwire-rental-car-shopping,Travel, The Rental Car Shopping API delivers data describing rental car shopping results similar to those that can be obtained when shopping for rental car rates on Hotwire.com. Each result returned includes...
204, Dossia API,https://www.programmableweb.com/api/dossia,Medical," Dossia aggregates users' health information into one convenient and safe Web-based platform. From this platform, users can utilize their data and access personalized health tools. The Dossia API..."
205, Resellers Panel API,https://www.programmableweb.com/api/resellers-panel,Hosting, Reseller API v.2.0 provides users an interface from which they can combine the option of having a custom webdesign of a reseller store with the possibility for centralized management of their web...
206, WURFL API,https://www.programmableweb.com/api/wurfl,Telephony, The WURFL is an XML configuration file which contains information about capabilities and features of many mobile devices. WURFL Web Service provides a RESTful interface to the WURFL database. If a...
207, Calameo API,https://www.programmableweb.com/api/calameo,Collaboration, Calamï¿½o is a program that lets users upload documents from many major formats and create interactive web publications. The API uses either a RESTful interface or a deprecated SOAP interface...
208, FoolDNS API,https://www.programmableweb.com/api/fooldns,Security," FoolDNS is a service that provides protection from malware, phishing and tracking cookies. With this API users can integrate their system with FoolDNS. It exposes a REST interface that can be queried..."
209, Sourcemap API,https://www.programmableweb.com/api/sourcemap,Other," Sourcemap is project from the MIT Media Lab. It is a tool for producers, business owners and consumers to understand the impact of supply chains. The services lets you simulate the impact of..."
210, Whoozy Person Search API,https://www.programmableweb.com/api/whoozy-person-search,Search," This API is part of the people search engine http://whoozy.com. This API uses a RESTful interface to allow an application to search for a name in social networks, search engines, blogs, news,..."
211, Boliven Patents API,https://www.programmableweb.com/api/boliven-patents,Reference, Use Boliven APIs to integrate patent data into a website or application. The REST API provides developers access to Boliven's store of 55 million+ patent document data in either JSON or XML data....
212, NutchWAX OpenSearch API,https://www.programmableweb.com/api/nutchwax-opensearch,Search, The WWWoH project is an attempt to establish a possible framework for e-Humanities (also called Digital Humanities) research using available open source tools and technologies and archived web...
213, World Wide Web of Humanities Wayback API,https://www.programmableweb.com/api/world-wide-web-humanities-wayback,Reference, The WWWoH project is an attempt to establish a possible framework for e-Humanities (also called Digital Humanities) research using available open source tools and technologies and archived web...
214, LittleSis API,https://www.programmableweb.com/api/littlesis,Government," LittleSis is a free database tracking the key relationships of politicians, business leaders, lobbyists, financiers, and their affiliated institutions. The LittleSis API exposes the raw data used on..."
215, commandlinefu.com API,https://www.programmableweb.com/api/commandlinefucom,Tools," commandlinefu.com is a repository for storing and sharing shell commands. The REST API allows users to retrieve commands in various formats, this can be used this to build widgets that interact with..."
216, Monster Web Services Toolkit API,https://www.programmableweb.com/api/monster-web-services-toolkit,Jobs," This API allows users to publish job ads to the Monster.com job search and placement service. Users interact with BGW by sending SOAP messages over HTTPS. Monster service includings job seeking,..."
217, Domainr API,https://www.programmableweb.com/api/domainr,Domains, Domainr is a tool used in searching for available domain names. Domainr has two external APIs: an HTML forms API for website integration and a JSON-based API for web services and client-side...
218, NuGram Runtime API,https://www.programmableweb.com/api/nugram-runtime,Telephony, NuGram Hosted Server is a speech grammar sharing site based on the NuGram Server technology. NuGram generates speech recognitions grammars that may be used in VoiceXML applications. Those grammars...
219, Mobile Commons mData API,https://www.programmableweb.com/api/mobile-commons-mdata,Messaging," The Mobile Commons platform integrates SMS, phone calls, and Web applications with CRMs and databases, as well as Twitter, Facebook applications, flash widgets, and geo-location features.
Using..."
220, Mobile Commons API,https://www.programmableweb.com/api/mobile-commons,Telephony," The Mobile Commons platform integrates SMS, phone calls, and Web applications with CRMs and databases, as well as Twitter, Facebook applications, flash widgets, and geo-location features.
The Mobile..."
221, DivShare API,https://www.programmableweb.com/api/divshare,Media," DivShare is a program that allows users to embed music, videos or documents into their website or blog.
DivShare is a RESTful API that lets users send queries and returns information about DivShare..."
222, Hictu API,https://www.programmableweb.com/api/hictu,Video," Hictu is a video microblogging site. It provides an API for retrieving video posts and user profiles, as well as the ability to post text/video messages. The basic API does not require an API Key and..."
223, UMBEL API,https://www.programmableweb.com/api/umbel-0,Reference, UMBEL (Upper Mapping and Binding Exchange Layer) is a lightweight ontology structure for relating Web content and data to a standard set of subject concepts. Its purpose is to provide a fixed set of...
224, tweethook API,https://www.programmableweb.com/api/tweethook,Social, TweetHook allows users to set up a continuous Twitter Search and retrieve the data automatically. The TweetHook API allows users to manipulate the settings for the searches in their account in a...
225, Freckle API,https://www.programmableweb.com/api/freckle,Project Management," Freckle is a RESTful API that allows users to enter billable hours, see which projects and tasks are taking up the most unpaid time, fetch a list of projects, log a time entry and complete a bulk..."
226, Get Favicon API,https://www.programmableweb.com/api/get-favicon,Graphics," Retrieves the relevant favicon for a URL, or returns a default icon should it not be able to find it. It can find favicons specified by an HTML page's element."
227, Five9 API,https://www.programmableweb.com/api/five9,Enterprise," Five9 is a cloud computing platform for call centers. The Five9 Configuration Web Services API provides developers access to Five9 User, Calling List, Contact, and Campaign Management capabilities..."
228, Bonanzle API,https://www.programmableweb.com/api/bonanzle,eCommerce," Bonanzle is an online marketplace with 2.5 million items available for sale with 100,000 registered users. Bonapitit is a RESTful API that allows developers to write their own applications that..."
229, Idescat Catalan and Spanish Indicators API,https://www.programmableweb.com/api/idescat-catalan-and-spanish-indicators,Financial," The Statistical Institute of Catalonia produces official statistics in the fields of the economy, demography and society. Idescat exposes some of its data via a collection of REST APIs. Idescat's..."
230, Sonico API,https://www.programmableweb.com/api/sonico,Social," Sonico is a free-access social networking website oriented toward a Latin American audience. The OpenSocial API can search and add friends, update personal profiles, manage privacy settings, upload..."
231, Called.in Phone Verification API,https://www.programmableweb.com/api/calledin-phone-verification,Telephony," A RESTful API that allows developers to implement automated phone verification, reverse phone number verification, automated calling and click to call services. Users must purchase API credits to use..."
232, myOneLogin API,https://www.programmableweb.com/api/myonelogin,Security," The myOneLogin API provides a SOAP web service for utilizing the myOneLogin service. After authentication or as part of single-sign-on from existing active session, myOneLogin can generate a SAML..."
233, Dot TK TweaK API,https://www.programmableweb.com/api/dot-tk-tweak,URL Shortener, Dot TK's TweaK API service lets developers design computer programs and online applications that interact directly with the Dot TK registration system for free domain name registration services. Dot...
234, Motime Chart API,https://www.programmableweb.com/api/motime-chart,Music," The Motime Open Access platform is an affiliate program based on the APIs of the Motime service, that allows partners/affiliates to advertise Motime content on their own web and/or mobile sites and..."
235, Motime API,https://www.programmableweb.com/api/motime,Telephony," The Motime Open Access platform is an affiliate program based on the APIs of the Motime service, that allows partners/affiliates to advertise Motime content on their own web and/or mobile sites and..."
236, Mad Mimi Mailer API,https://www.programmableweb.com/api/mad-mimi-mailer,Email," Mad Mimi's Mailer API lets users use Mad Mimi to send transactional emails like welcome letters, password resets, and account activations. It can also be used to programmatically send promotional..."
237, IPInfoDB Fraud Detection API,https://www.programmableweb.com/api/ipinfodb-fraud-detection,Reference, Fraud detection system for ecommerce site that calculate the distance between shipping location and IP location. The purpose of this API is for online fraud detection and prevention. It compares the...
238, DirectLink Media Network API,https://www.programmableweb.com/api/directlink-media-network,Tools," Provides a short and direct link to a given URL. DirectLink Media Network offers a simple http method for returning JSON formatted data.
Limited documentation available."
239, IPInfoDB Geolocation API,https://www.programmableweb.com/api/ipinfodb-geolocation,Mapping," This RESTful API is a web based IP geolocation lookup service. The responses can be returned in XML, JSON and CSV format."
240, OpenStreetMap Name Finder API,https://www.programmableweb.com/api/openstreetmap-name-finder,Mapping, The Name Finder is a tool to search for names and related items like road numbers in the OpenStreetMap database. Using a RESTful interface you can get the results back in an XML file for further...
241, GeoReach Neighborhood API,https://www.programmableweb.com/api/georeach-neighborhood,Advertising," Neighborhood API provides boundary data defining neighborhood throughout United States. It acts like a location twitter feed, and you can post to neighborhoods and request a neighborhood stream. It..."
242, TomTom WEBFLEET.connect API,https://www.programmableweb.com/api/tomtom-webfleetconnect,Enterprise," TomTom WEBFLEET.connect is the API of the TomTom WEBFLEET SaaS fleet management system. The WEBFLEET.connect API provides real-time, 24/7 access to a fleets vehicle management, job dispatch, and..."
243, FiveFilters.org API,https://www.programmableweb.com/api/fivefiltersorg,Tools, This is a content extraction service to help people extract and read full-text web content. It can extract content from a standard HTML page and return a 1-item feed or it can transform an existing...
244, MovieZine.se API,https://www.programmableweb.com/api/moviezinese,Video, MovieZine.se is a Swedish movies and reviews service. This RESTful API that allows the user to query the MovieZine database for information on movies and reviews.
245, Global Giving API,https://www.programmableweb.com/api/global-giving,Social," GlobalGiving is an online marketplace that connects you to the causes and countries you care about. You select the projects you want to support, make a tax-deductible contribution, and get regular..."
246, MovieMeter API,https://www.programmableweb.com/api/moviemeter,Video," The MovieMeter API is a XML-RPC webservice which you can use to retrieve film information in Dutch. In the future, the API may also support logging in, voting and other user based methods."
247, Postcode IT API,https://www.programmableweb.com/api/postcode-it,Reference," The Postcode IT web service provides functions to obtain address(es) from postcodes. To keep the method calls tidy, the service makes use of SoapHeaders. Set up your SoapHeader with your CustomerId,..."
248, BankCheck API,https://www.programmableweb.com/api/bankcheck,Financial," Mosaic BankCheck API is an application programming interface that uses a SOAP interface and allows you to use reliable, on-demand UK sort code and bank account information in your enterprise-wide..."
249, Readernaut API,https://www.programmableweb.com/api/readernaut,Social," Readernaut is a free service that lets you write reviews, keep notes, make reading lists, track your reading progress and find your friends. Readernaut API is a RESTful API for integration with third..."
250, Mobile Vikings API,https://www.programmableweb.com/api/mobile-vikings-api,Telephony," Mobile Vikings is a Belgian internet mobile virtual network operator on top of the base network. Mobile Vikings offers an API to monitor your current credit balance, call history and top up history..."
251, QR and DMX Barcode Generator API,https://www.programmableweb.com/api/qr-and-dmx-barcode-generator,Barcodes," This API lets you dynamically generate QR and DMX codes. With it, you can implement two dimensional code in web pages by using tag img with appropriate attributes. You can set alternate image sizes..."
252, LiveAddress Verification API,https://www.programmableweb.com/api/liveaddress-verification,Shipping," Super-simple and super-fast US address verification. Validate street addresses within your application or on your website. Obtain valuable information about addresses, including whether they can..."
253, Taykt API,https://www.programmableweb.com/api/taykt,Messaging," The Taykt API allows developers to control your Taykt account, including changing message content, viewing activity, creating new messages, and dynamically responding to an SMS message on their own..."
254, Xpenser API,https://www.programmableweb.com/api/xpenser,Financial, Xpenser offers mobile expense tracking and management. The Xpenser API allows users to enter expenses into Xpenser.
255, WebLaws API,https://www.programmableweb.com/api/weblaws,Reference," The WebLaws API gives developers access to both the WebLaws.org and OregonLaws.org legal glossary. It features responses in JSON and XML, and is offered with no service fees."
256, Zutual API,https://www.programmableweb.com/api/zutual-0,Social, A RESTful API that takes two twitter usernames and returns a JSON list of the topics they both discuss. The API uses advanced natural language processing to analyze tweets and calculate the mutual...
257, Qik API,https://www.programmableweb.com/api/qik,Video," The Qik Platform Application Programming Interface enables anyone to integrate or build web, desktop, phone applications to take advantage of Qik's mobile video sharing platform."
258, Data8 Mobile Validation API,https://www.programmableweb.com/api/data8-mobile-validation,Telephony," Data8 is the UK's premier data solutions provider with a range of data cleansing, postcode lookup and data validation services to ultimately improve the way businesses communicate with their..."
259, Data8 Postcode Lookup API,https://www.programmableweb.com/api/data8-postcode-lookup,Search," Data8 is the UK's premier data solutions provider with a range of data cleansing, postcode lookup and data validation services to ultimately improve the way businesses communicate with their..."
260, authorSTREAM API,https://www.programmableweb.com/api/authorstream,Office," authorSTREAM is a platform for sharing PowerPoint presentations on the Internet. authorSTREAM makes it easier to share your PowerPoint slideshows through blogs, websites, on YouTube and even via iPOD..."
261, Touch Local API,https://www.programmableweb.com/api/touch-local,Search," The TouchLocal online business directory, touchlocal.com, offers blanket UK coverage and contains over 2.4 million business listings. It attracts 4 million unique visitors a month who in-turn..."
262, Auto Follow Friday API,https://www.programmableweb.com/api/auto-follow-friday,Social, Use this API to quickly produce a JSON array list of people you tweet most (during your last 100 tweets)
263, FlightCaster API,https://www.programmableweb.com/api/flightcaster,Travel," FlightCaster predicts flight delays, often hours before the airlines. From the developer page: ""The FlightCaster API is primarily used for retrieving information about the likelihood that a flight..."
264, entreprise-facile API,https://www.programmableweb.com/api/entreprise-facile,Enterprise," REST-type API that allows you to create automations, or mashup applications composed with entreprise-facile apps and other services. For example:
Use a desktop app to enter timesheets in a snap;..."
265, Samepoint Real-Time Social Media API,https://www.programmableweb.com/api/samepoint-real-time-social-media,Social," Samepoint has released Version 2 of its Social Media Monitoring API. This commercial API now provides simpler means for a developer to monitor any term in the Social Universe.
Many data services..."
266, Conversions API,https://www.programmableweb.com/api/conversions,Reference, The Convert.net Conversions API enables you to get instant and accurate answers to complex mathematical expressions and thousands of conversion related queries that can be posted in a natural...
267, ZIP Codes API,https://www.programmableweb.com/api/zip-codes,Reference, The ZIP Codes API from STANDS4 uses REST calls to enable you to get the US location behind the zip code in XML format.
268, Dictionary Definitions API,https://www.programmableweb.com/api/dictionary-definitions,Reference, The Dictionary Definitions API from STANDS4 uses REST calls to enable you to get dictionary definition information in XML format for a given word.
269, Zutual API,https://www.programmableweb.com/api/zutual,Social," The Zutual API allows you programmatic access to the Zutual platform, which is a service that uses advanced artificial intelligence to calculate what any two twitter users have in common with one..."
270, Socialtext API,https://www.programmableweb.com/api/socialtext,Wiki, Socialtext provides enterprise social software to businesses with the goal of improving knowledge management and sharing. The Socialtext REST API includes a set of functionality allowing programmers...
271, Zoho Projects API,https://www.programmableweb.com/api/zoho-projects,Office," Zoho Projects provides REST style Web APIs that return an XML or JSON document over HTTP. With this API, users/developers can extend their web applications to push or pull data into or from Zoho..."
272, Straight-Street API,https://www.programmableweb.com/api/straight-street,Other," This is a RESTful API for the straight-street.com symbol set. It allows programs to search and access symbols, just as users can using the interactive gallery web page."
273, WPAPI.org API,https://www.programmableweb.com/api/wpapiorg,Blogging," WPapi is an API that gives you access to up-to-date download stats for your WordPress-hosted plugins and themes using feeds such as JSON, XML, CSV and PHP. You can use this data on your own blog or..."
274, RimuHosting API,https://www.programmableweb.com/api/rimuhosting,Enterprise," The RimuHosting API is an programmable interface to manage some of RimuHosting services. It lets you do things like setup new VPSs, add memory or disk to existing VPSs, check your data transfer usage..."
275, RdbHost API,https://www.programmableweb.com/api/rdbhost,Database," RdbHost creates a database using the PostgreSQL engine exclusively for your use. First you need to create an account, then you will get a database that can be accessed via HTTP requests and regular..."
276, MeeMix API,https://www.programmableweb.com/api/meemix,Music," MeeMix Web Service enables partners to synchronize their own media libraries with the MeeMix database, and subsequently suggest musical recommendations and playlists to both unregistered and..."
277, Easy Insight API,https://www.programmableweb.com/api/easy-insight,Enterprise," Easy Insight provides both a SOAP and REST API. They can be used for publishing any variety of custom data into a hosted business intelligence (BI) engine, after which users can create reports,..."
278, Elev.at API,https://www.programmableweb.com/api/elevat,Tools," Elev.at is a web API that converts legacy/proprietary files such as Text (CSV, tab delimited) and XLS (Excel) into XML in real-time so that it can be consumed by Internet, mobile, and desktop apps...."
279, AdGooroo API,https://www.programmableweb.com/api/adgooroo,Advertising, The AdGooroo API lets developers access competitive intelligence data to build virtually any application that meets their needs. The API is based on the popular REST architecture and supports data...
280, RentRange Rental Rate API,https://www.programmableweb.com/api/rentrange-rental-rate,Real Estate," The Rental Rate API is a for websites that provides real estate or rental listings for website visitors. The RentRange API provides low, median and high rental rates for individual properties or by..."
281, Muselia API,https://www.programmableweb.com/api/muselia,Education," The Muselia API can be used to display information on up to 99 museums in an area on your own web site. The information about museums can be used to enrich your art related sites, hotels and tourist..."
282, Vidly API,https://www.programmableweb.com/api/vidly,Video," Vid.ly is a cloud-based video hosting service that, in addition to basic hosting services, is designed to optimize video playback for different devices and systems. Once a user provides source video..."
283, SAManage API,https://www.programmableweb.com/api/samanage,Enterprise," The SAManage API makes all of the SAManage data easily-accessible for customers and partners. It allows users to integrate IT asset inventory information such as computers, software, and contracts..."
284, InvoiceClarity API,https://www.programmableweb.com/api/invoiceclarity,Financial," The InvoiceClarity API lets you create invoices, quotations, track time, expenses, and recurring invoices."
285, DriveCast API,https://www.programmableweb.com/api/drivecast,Media," DriveCast is a web-based media manager for your different devices, USB keys, smartphones, and cars. It collects your favorite content from the web (audio/video) so that you can load them onto your..."
286, Clickatell XML API,https://www.programmableweb.com/api/clickatell-xml,Messaging, This API is an XML interface to the Clickatell gateway. It is a simple way to integrate legacy systems with SMS. It provides interoperability amongst heterogeneous systems because it is language...
287, Clickatell FTP API,https://www.programmableweb.com/api/clickatell-ftp,Messaging," The Clickatell FTP API allows you to upload a text file to the Clickatell FTP server to send bulk SMS. It provides once-off, high volume message dispatches for promotions and other messaging that..."
288, Clickatell SMTP API,https://www.programmableweb.com/api/clickatell-smtp,Messaging," The Clickatell SMTP API allows you to send an email to the Clickatell server, send bulk SMS, connect to the SMS Gateway and send email to SMS. SMTP provides connectivity from the legacy server,..."
289, Clickatell SMPP API,https://www.programmableweb.com/api/clickatell-smpp,Messaging," The Clickatell FTP API is typically used by enterprises and large organizations for high volume sending. It provides a direct connection, initiated by you, to the Clickatell SMS Gateway. This..."
290, UMapper API,https://www.programmableweb.com/api/umapper-0,Mapping," UMapper is a visual web-based map authoring application. UMapper allows developers to create embeddable maps for Adobe Flash and distribute them through websites, blogs, or social networks. UMapper..."
291, 80legs API,https://www.programmableweb.com/api/80legs,Data Mining, 80legs is a service platform for web crawling and processing web content. The 80legs API gives developers a simple programmatic interface with access the functionality that 80legs provides outside of...
292, Location-API.com API,https://www.programmableweb.com/api/location-apicom,Telephony," Location-API.com helps developers and mobile service providers to locate mobile phones and other mobile devices connected to the GSM and WCDMA networks.
Geographic coordinates for latitude and..."
293, FairLuck API,https://www.programmableweb.com/api/fairluck,Games, FairLuck is a software development company that lets its users to ‘confidently’ gamble online. FairLuck API lets developers to integrate their services into their applications/websites. By using this...
294, oDesk API,https://www.programmableweb.com/api/odesk,Jobs," oDesk is a marketplace for online workteams, with a unique business model for both buyers and providers that looks to guarantee to buyers that an hour billed is an hour worked, while guaranteeing to..."
295, Lemonfree API,https://www.programmableweb.com/api/lemonfree,eCommerce, Lemonfree is an automobile search engine. There are 2 million cars offered for sale. It does not charge dealers or private sellers to list their vehicles for sale. The service offers quality vehicle...
296, ForeclosureListings.com API,https://www.programmableweb.com/api/foreclosurelistingscom,Real Estate," ForeclosureListings.com combines one of the largest databases of foreclosure listings direct from major banks, mortgage companies, Government, HUD, Fannie Mae, Freddie Mac and others. Their..."
297, Cleanify API,https://www.programmableweb.com/api/cleanify,Tools," Removed per owner as API is no longer available. 4/14/14 ws
Translates the somewhat cryptic Spotify URLs (HTTP or regular) into clean, readable links. It features a REST Protocol and can be easily..."
298, TeamSupport.com API,https://www.programmableweb.com/api/teamsupportcom,Enterprise, TeamSupport.com is an online Customer Service and Help Desk platform (SaaS). It lets your entire team to work together to manage your customers issues. This RESTful API allows easy access to all...
299, Ankoder API,https://www.programmableweb.com/api/ankoder,Video, Ankoder is a cloud based video transcoding API enabling companies to easily integrate video functions into their web services. Its pay-per-use service keeps you up-to-date with the latest codecs and...
300, Chronicling America API,https://www.programmableweb.com/api/chronicling-america,News Services," Chronicling America from the US Library of Congress, provides access to information about historic newspapers and select digitized newspaper pages. The site allows you to search and view newspaper..."
301, Yebol API,https://www.programmableweb.com/api/yebol,Search," Yebol is a new semantic search engine that currently has 10 million search terms and growing. From the website: "" Yebol allows for a multi-dimensional search result instead of the normal one-..."
302, Innoport FAX API,https://www.programmableweb.com/api/innoport-fax,Fax," The Innoport FAX API lets developers send out faxes from their mission critical applications. Applications can be in ASP, JSP, Cold Fusion, C/C++, Java, VB, .NET, C#, PHP or any other language that..."
303, BigOven Recipe API,https://www.programmableweb.com/api/bigoven-recipe,Food," Get 350,000+ recipes, hundreds of thousands of photos. Search by title, ingredient, keyword, nutritional information (paid plan required) and much, much more. Manage folders and add/remove recipes..."
304, BulkSMS API,https://www.programmableweb.com/api/bulksms,Messaging, BulkSMS offers bulk text messaging delivery to 200 countries worldwide via a simple API. Multiple routing and pricing options. The API is available in over 800 networks in over 200 countries. global...
305, BlogCatalog API,https://www.programmableweb.com/api/blogcatalog,Search," BlogCatalog is a community of bloggers and a directory of blogs. From the website concerning the API: ""The BlogCatalog REST (REpresentational State Transfer) API allows the retrieval of public user..."
306, filtrbox API,https://www.programmableweb.com/api/filtrbox,Social, Filtrbox provides user with real-time social media monitoring. The API offers a RESTful interface over HTTP that enables developers to access and manipulate Filtrbox data. Data formats include JSON...
307, Taskbarn API,https://www.programmableweb.com/api/taskbarn,Tools," Taskbarn gives users project management tools. Some features include the ability to organize project tasks to list, communicate with members through private messages and project feed, share files,..."
308, TwTube API,https://www.programmableweb.com/api/twtube,Tools, TwTube is a URL shortening service for YouTube videos. The API features a simple RESTful interface. Can be useful for sharing videos on services like Twitter.
309, ktailab Mobile Country Code API,https://www.programmableweb.com/api/ktailab-mobile-country-code,Telephony, The MCCMNC API returns coarse location based on Mobile Country Code and Mobile Network Code. World wide roaming capable mobile phones (cell phones) can display the mobile country code (MCC) and...
310, Chargify API,https://www.programmableweb.com/api/chargify,Payments," Chargify is an online payment service featuring recurring billing. The Chargify API allows developers to integrate the service into their application or website easily, featuring a RESTful interface."
311, LiveWork API,https://www.programmableweb.com/api/livework,Enterprise," The LiveWork Open Workforce API (OWAPI) enables businesses to integrate applications with an on-demand virtual workforce provided by LiveWork. LiveWork’s platform, which integrates crowdsourcing and..."
312, CDYNE Death Index API,https://www.programmableweb.com/api/cdyne-death-index,Validation," Gain the ability to research and verify social security numbers of deceased individuals in real time. Detect fraud or update information on your clients, customers or donors from your website,..."
313, shortr API,https://www.programmableweb.com/api/shortr,Tools, Shortr is a URL shortening service. The API allows developers to create custom or random urls via a simple HTTP GET request. Useful with services like Twitter.
314, Prowl API,https://www.programmableweb.com/api/prowl,Mobile, Prowl is a Growl client for the iPhone OS. Notifications from Mac or Windows are sent to users' iPhone or iPod touch. The Prowl API allows users to integrate scripts with the app.
